111;Tiền mặt;1
1111;Tiền Việt Nam;2
1112;Ngoại tệ;2
1113;Vàng tiền tệ;2
112;Tiền gửi Ngân hàng;1
1121;Tiền Việt Nam;2
1122;Ngoại tệ;2
1123;Vàng tiền tệ;2
113;Tiền đang chuyển;1
1131;Tiền Việt Nam;2
1132;Ngoại tệ;2
121;Chứng khoán kinh doanh;1
1211;Cổ phiếu;2
1212;Trái phiếu;2
1218;Chứng khoán và công cụ tài chính khác;2
128;Đầu tư nắm giữ đến ngày đáo hạn;1
1281;Tiền gửi có kỳ hạn;2
1282;Trái phiếu;2
1283;Cho vay;2
1288;Các khoản đầu tư khác nắm giữ đến ngày đáo hạn;2
131;Phải thu của khách hàng;1
133;Thuế GTGT được khấu trừ;1
1331;Thuế GTGT được khấu trừ của hàng hóa, dịch vụ;2
1332;Thuế GTGT được khấu trừ của TSCĐ;2
136;Phải thu nội bộ;1
1361;Vốn kinh doanh ở các đơn vị trực thuộc;2
1362;Phải thu nội bộ về chênh lệch tỷ giá;2
1363;Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá;2
1368;Phải thu nội bộ khác;2
138;Phải thu khác;1
1381;Tài sản thiếu chờ xử lý;2
1385;Phải thu về cổ phần hoá;2
1388;Phải thu khác;2
141;Tạm ứng;1
151;Hàng mua đang đi đường;1
152;Nguyên liệu, vật liệu;1
153;Công cụ, dụng cụ;1
1531;Công cụ, dụng cụ;2
1532;Bao bì luân chuyển;2
1533;Đồ dùng cho thuê;2
1534;Thiết bị, phụ tùng thay thế;2
154;Chi phí sản xuất, kinh doanh dở dang;1
155;Thành phẩm;1
1551;Thành phẩm nhập kho;2
1557;Thành phẩm bất động sản;2
156;Hàng hóa;1
1561;Giá mua hàng hóa;2
1562;Chi phí thu mua hàng hóa;2
1567;Hàng hóa bất động sản;2
157;Hàng gửi đi bán;1
158;Hàng hoá kho bảo thuế;1
161;Chi sự nghiệp;1
1611;Chi sự nghiệp năm trước;2
1612;Chi sự nghiệp năm nay;2
171;Giao dịch mua bán lại trái phiếu chính phủ;1
211;Tài sản cố định hữu hình;1
2111;Nhà cửa, vật kiến trúc;2
2112;Máy móc, thiết bị;2
2113;Phương tiện vận tải, truyền dẫn;2
2114;Thiết bị, dụng cụ quản lý;2
2115;Cây lâu năm, súc vật làm việc và cho sản phẩm;2
2118;TSCĐ khác;2
212;Tài sản cố định thuê tài chính;1
2121;TSCĐ hữu hình thuê tài chính.;2
2122;TSCĐ vô hình thuê tài chính.;2
213;Tài sản cố định vô hình;1
2131;Quyền sử dụng đất;2
2132;Quyền phát hành;2
2133;Bản quyền, bằng sáng chế;2
2134;Nhãn hiệu, tên thương mại;2
2135;Chương trình phần mềm;2
2136;Giấy phép và giấy phép nhượng quyền;2
2138;TSCĐ vô hình khác;2
214;Hao mòn tài sản cố định;1
2141;Hao mòn TSCĐ hữu hình;2
2142;Hao mòn TSCĐ thuê tài chính;2
2143;Hao mòn TSCĐ vô hình;2
2147;Hao mòn bất động sản đầu tư;2
217;Bất động sản đầu tư;1
221;Đầu tư vào công ty con;1
222;Đầu tư vào công ty liên doanh, liên kết;1
228;Đầu tư khác;1
2281;Đầu tư góp vốn vào đơn vị khác;2
2288;Đầu tư khác;2
229;Dự phòng tổn thất tài sản;1
2291;Dự phòng giảm giá chứng khoán kinh doanh;2
2292;Dự phòng tổn thất đầu tư vào đơn vị khác;2
2293;Dự phòng phải thu khó đòi;2
2294;Dự phòng giảm giá hàng tồn kho;2
241;Xây dựng cơ bản dở dang;1
2411;Mua sắm TSCĐ;2
2412;Xây dựng cơ bản;2
2413;Sửa chữa lớn TSCĐ;2
242;Chi phí trả trước;1
243;Tài sản thuế thu nhập hoãn lại;1
244;Cầm cố, thế chấp, ký quỹ, ký cược;1
331;Phải trả cho người bán;1
333;Thuế và các khoản phải nộp Nhà nước;1
3331;Thuế giá trị gia tăng phải nộp;2
33311;Thuế GTGT đầu ra;2
33312;Thuế GTGT hàng nhập khẩu;2
3332;Thuế tiêu thụ đặc biệt;2
3333;Thuế xuất, nhập khẩu;2
3334;Thuế thu nhập doanh nghiệp;2
3335;Thuế thu nhập cá nhân;2
3336;Thuế tài nguyên;2
3337;Thuế nhà đất, tiền thuê đất;2
3338;Thuế bảo vệ môi trường và các loại thuế khác;2
33381;Thuế bảo vệ môi trường;2
33382;Các loại thuế khác;2
3339;Phí, lệ phí và các khoản phải nộp khác;2
334;Phải trả người lao động;1
3341;Phải trả công nhân viên;2
3348;Phải trả người lao động khác;2
335;Chi phí phải trả;1
336;Phải trả nội bộ;1
3361;Phải trả nội bộ về vốn kinh doanh;2
3362;Phải trả nội bộ về chênh lệch tỷ giá;2
3363;Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá;2
3368;Phải trả nội bộ khác;2
337;Thanh toán theo tiến độ kế hoạch hợp đồng xây dựng;1
338;Phải trả, phải nộp khác;1
3381;Tài sản thừa chờ giải quyết;2
3382;Kinh phí công đoàn;2
3383;Bảo hiểm xã hội;2
3384;Bảo hiểm y tế;2
3385;Phải trả về cổ phần hoá;2
3386;Bảo hiểm thất nghiệp;2
3387;Doanh thu chưa thực hiện;2
3388;Phải trả, phải nộp khác;2
341;Vay và nợ thuê tài chính;1
3411;Các khoản đi vay;2
3412;Nợ thuê tài chính;2
343;Trái phiếu phát hành;1
3431;Trái phiếu thường;2
34311;Mệnh giá;2
34312;Chiết khấu trái phiếu;2
34313;Phụ trội trái phiếu;2
3432;Trái phiếu chuyển đổi;2
344;Nhận ký quỹ, ký cược;1
347;Thuế thu nhập hoãn lại phải trả;1
352;Dự phòng phải trả;1
3521;Dự phòng bảo hành sản phẩm hàng hóa;2
3522;Dự phòng bảo hành công trình xây dựng;2
3523;Dự phòng tái cơ cấu doanh nghiệp;2
3524;Dự phòng phải trả khác;2
353;Quỹ khen thưởng phúc lợi;1
3531;Quỹ khen thưởng;2
3532;Quỹ phúc lợi;2
3533;Quỹ phúc lợi đã hình thành TSCĐ;2
3534;Quỹ thưởng ban quản lý điều hành công ty;2
356;Quỹ phát triển khoa học và công nghệ;1
3561;Quỹ phát triển khoa học và công nghệ;2
3562;Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ;2
357;Quỹ bình ổn giá;1
411;Vốn đầu tư của chủ sở hữu;1
4111;Vốn góp của chủ sở hữu;2
41111;Cổ phiếu phổ thông có quyền biểu quyết;2
41112;Cổ phiếu ưu đãi;2
4112;Thặng dư vốn cổ phần;2
4113;Quyền chọn chuyển đổi trái phiếu;2
4118;Vốn khác;2
412;Chênh lệch đánh giá lại tài sản;1
413;Chênh lệch tỷ giá hối đoái;1
4131;Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ;2
4132;Chênh lệch tỷ giá hối đoái trong giai đoạn trước hoạt động;2
414;Quỹ đầu tư phát triển;1
417;Quỹ hỗ trợ sắp xếp doanh nghiệp;1
418;Các quỹ khác thuộc vốn chủ sở hữu;1
419;Cổ phiếu quỹ;1
421;Lợi nhuận sau thuế chưa phân phối;1
4211;Lợi nhuận sau thuế chưa phân phối năm trước;2
4212;Lợi nhuận sau thuế chưa phân phối năm nay;2
441;Nguồn vốn đầu tư xây dựng cơ bản;1
461;Nguồn kinh phí sự nghiệp;1
4611;Nguồn kinh phí sự nghiệp năm trước;2
4612;Nguồn kinh phí sự nghiệp năm nay;2
466;Nguồn kinh phí đã hình thành TSCĐ;1
511;Doanh thu bán hàng và cung cấp dịch vụ;1
5111;Doanh thu bán hàng hóa;2
5112;Doanh thu bán các thành phẩm;2
5113;Doanh thu cung cấp dịch vụ;2
5114;Doanh thu trợ cấp, trợ giá;2
5117;Doanh thu kinh doanh bất động sản đầu tư;2
5118;Doanh thu khác;2
515;Doanh thu hoạt động tài chính;1
521;Các khoản giảm trừ doanh thu;1
5211;Chiết khấu thương mại;2
5212;Hàng bán bị trả lại;2
5213;Giảm giá hàng bán;2
611;Mua hàng;1
6111;Mua nguyên liệu, vật liệu;2
6112;Mua hàng hóa;2
621;Chi phí nguyên liệu, vật liệu trực tiếp;1
622;Chi phí nhân công trực tiếp;1
623;Chi phí sử dụng máy thi công;1
6231;Chi phí nhân công;2
6232;Chi phí nguyên, vật liệu;2
6233;Chi phí dụng cụ sản xuất;2
6234;Chi phí khấu hao máy thi công;2
6237;Chi phí dịch vụ mua ngoài;2
6238;Chi phí bằng tiền khác;2
627;Chi phí sản xuất chung;1
6271;Chi phí nhân viên phân xưởng;2
6272;Chi phí nguyên, vật liệu;2
6273;Chi phí dụng cụ sản xuất;2
6274;Chi phí khấu hao TSCĐ;2
6277;Chi phí dịch vụ mua ngoài;2
6278;Chi phí bằng tiền khác;2
631;Giá thành sản xuất;1
632;Giá vốn hàng bán;1
635;Chi phí tài chính;1
641;Chi phí bán hàng;1
6411;Chi phí nhân viên;2
6412;Chi phí nguyên vật liệu, bao bì;2
6413;Chi phí dụng cụ, đồ dùng;2
6414;Chi phí khấu hao TSCĐ;2
6415;Chi phí bảo hành;2
6417;Chi phí dịch vụ mua ngoài;2
6418;Chi phí bằng tiền khác;2
642;Chi phí quản lý doanh nghiệp;1
6421;Chi phí nhân viên quản lý;2
6422;Chi phí vật liệu quản lý;2
6423;Chi phí đồ dùng văn phòng;2
6424;Chi phí khấu hao TSCĐ;2
6425;Thuế, phí và lệ phí;2
6426;Chi phí dự phòng;2
6427;Chi phí dịch vụ mua ngoài;2
6428;Chi phí bằng tiền khác;2
711;Thu nhập khác;1
811;Chi phí khác;1
821;Chi phí thuế thu nhập doanh nghiệp;1
8211;Chi phí thuế TNDN hiện hành;2
8212;Chi phí thuế TNDN hoãn lại;2
911;Xác định kết quả kinh doanh;1
